Review,Label,Predict_DT,Predict_RF
good clean chicken flavor,1,1,1
nv contemptuous attitude toward customer chicken nugget spaghetti cold fried chicken dry shop doesnt glove regulation dont allow okay restaurant doesnt glove enough ensure food hygiene safety,0,1,0
really like eat chizza cheese ball hot crispy delicious,1,1,1
famous fast food restaurant delicious fried chicken crispy outside soft inside boring variety food,1,1,1
sell chicken thigh tiny half size normal chicken thigh usually eat really unacceptable big brand fast food restaurant,0,1,1
enthusiastic staff fast delivery,1,1,1
everyone come try using service staff super enthusiastic food always great there nothing criticize,1,1,1
delicious food clean restaurant,1,1,1
food amazing staff named nga enthusiastic,1,1,1
chicken rice still delicious quality always maintained super fast delivery bought lunch waited bit get,1,1,1
oh gosh staff cute friendliest one named phuong delicious crispy hot chicken served quickly,1,1,1
good everyone experience,1,1,1
friendly staff food quite delicious rice mushy chicken dry love ice cream,1,1,1
delicious food staff fast enthusiastic lunch bit crowded sometimes wait bit still ok,1,1,1
delicious food enthusiastic staff,1,1,1
food ate today delicious chicken delicious price good voucher,1,1,1
wonderful memorable experience enthusiastic staff good service,1,1,1
called many time operator didnt answer called cancel order still tried go,1,1,0
delicious hot crispy french fry,1,1,1
im bored many time bought salty dried chicken wasnt delicious went kfc bought elsewhere different,0,1,1
love food staff much,1,1,1
good experience food came quickly received right paying staff enthusiastic friendly food delicious plentiful restaurant many time never disappointed support long term,1,1,1
received good quickly staff ok enthusiastic,1,1,1
delicious food enthusiastic staff best staff le binh tung,1,1,1
chicken delicious come back many time extremely satisfied attentive attitude staff le binh tung recommends facility increase salary staff,1,1,1
staff quite enthusiastic food attractive eye truly exclusive brand,1,1,1
staff enthusiastic customer spicy chicken spicy still edible pretty satisfying experience,1,1,1
food generally delicious suitable taste staff also enthusiastic help,1,1,1
friendly enthusiastic staff,1,1,1
good food great service waiting time long friend enjoyed food peace come back,1,1,1
service bad ordered dish including french fry dish available immediately french fry staff bring minute finishing dish asking,0,0,0
ive eaten many time quality good,1,1,1
delicious food enthusiastic staff good service,1,1,1
food delicious service good space bit small eating hot feel like fan air conditioner working,1,1,1
feel quite satisfied food food many dish choose hot delicious thing bit small return water restaurant regarding service clean,1,1,1
hot food enthusiastic interview convenient,1,1,1
delicious food nice staff,1,1,1
manager ly funny enthusiastic food still hot experience wonderful,1,1,1
placed order shopeefood app combo piece chicken juice nuggests clearly noted didnt get thigh chose change juice store still put thigh didnt change,1,0,0
delicious food fast service enthusiastic staff clean restaurant supportive,1,1,1
super friendly staff come back support,1,1,1
chicken delicious delicious hot crispy,1,1,1
opinion fried chicken kfc best among fried chicken restaurant hanoi like crispy golden fried chicken skin greasy meat lean dry overall delicious,1,1,1
staff enthusiastic,1,1,1
food delicious,1,1,1
delicious food spacious space enthusiastic staff,1,1,1
fast food friendly enthusiastic staff,1,1,1
every time buy take home hoang quoc viets facility buy wing thigh customer potato cold every time staff attitude super bad,1,0,0
food came quickly scalding hot still hot enough eat well chicken tender juicy oily potato delicious hot crispy shrimp burger cheese satisfactory satisfying birthday lunch,1,1,1
chizza delicious fatty buy try great experience,1,1,1
place worth visiting,1,1,0
position ok,1,1,0
delicious food,1,1,1
good food friendly staff,1,1,1
seems like cleaning bit early food isnt bad salty probably taste addition food decoration quite ok ate chicken ice cream,1,0,0
restaurant clean staff enthusiastic food delicious flavorful comfortable satisfied,1,1,1
spacious space enthusiastic staff,1,1,1
enthusiastic staff quickly delivers food customer hot fresh,1,1,1
cool,1,1,0
kid fun party impressed,1,1,0
delicious everything ok,1,1,1
good service friendly staff enjoyed breakfast,1,1,1
dont understand part chicken type doesnt ruffled shell combo people filling girl dont need order combo go eat buy piece individually full v boring,0,0,0
food good place fried well fried sweet potato soft chicken bad overall boring,1,1,1
delicious chicken,1,1,1
delicious food,1,1,1
delicious spicy crispy chicken,1,1,1
yo chicken burger cheap delicious food also served enthusiastic staff,1,1,1
super delicious ice cream crispy fried chicken,1,1,1
good quality enthusiastic service come back,1,1,1
food like kfcs lot seat service bit slow,1,0,0
moeis chicken look appealing ha delicious crispy spicy chicken,1,1,1
restaurant clean cool,1,1,1
birthday amazing see next yearbb,1,1,0
good service delicious cheap chicken,1,1,1
spicy chicken nugget suitable child eat bought gave delicious food,1,1,1
good quality food good service,1,1,1
restaurant clean staff friendly highlight booking party,1,1,1
better fkc tram troi kfc minh khai,1,1,0
super delicious food,1,1,1
crispy fried chicken delicious amazing must experience,1,1,1
hot delicious food clean restaurant,1,1,1
great,1,1,1
friendly staff,1,1,1
fast delivery food perfect condition,1,1,1
restaurant delicious clean try,1,1,1
food delicious,1,1,1
friendly staff,1,1,1
please dress,1,1,0
food delicious,1,1,1
quite perfect experience delicious chicken,1,1,1
yo chicken burger delicious cheap k,1,1,1
food delicious,1,1,1
great value money friendly helpful staff,1,1,1
chicken flavorful lotte cozy space enthusiastic service,1,1,1
food delicious delicious customer service enthusiastic dedicated restaurant space clean airy staff funny cute,1,1,1
friendly enthusiastic staff,1,1,1
delicious delicious,1,1,1
bit crowded ok good chicken,1,1,1
still first choice wanting eat fried chicken fast service delicious food,1,1,1
made make fillet delicious sauce delicious,1,1,1
delicious fast attentive service,1,1,1
delicious reasonable,1,1,1
great,1,1,1
delicious nack,1,1,1
service ok,1,1,1
response ok enthusiastic machine beautiful,1,1,1
delicious food even though raining food still came quickly enthusiastic consulting staff detailed instruction use machine good experience,1,1,1
food rice noodle burger chicken left ok order combo piece promotion apply customer ask want apply customer choose buy higher price,1,0,0
great experience,1,1,1
staff nice enthusiastic,1,1,1
ok,1,1,0
enthusiastic,1,1,1
good service,1,1,1
delicious chicken,1,1,1
food delicious nja,1,1,1
food also ok,1,1,1
super fast food,1,1,1
everyone come try using service staff super enthusiastic food always great there nothing criticize,1,1,1
friendly fast professional lovely staff cute especially m phuong food come quickly crispy hot definitely come back many time,1,1,1
restaurant serf attentively enthusiastically friendly customer manager good professional skill handle situation harmoniously come eat choose reliable longterm address,1,1,1
good okay,1,1,1
wonderful come back,1,1,0
lovely staff cool restaurant,1,1,1
delicious food enthusiastic staff food come quickly like baked egg tart,1,1,1
eat lot really like chicken noodle soup kid also order dish,1,1,0
delicious food enthusiastic dedicated service vnd service,1,1,1
eaten many time delicious cute adorable employee named duong siu eats,1,1,1
popular food specializing chicken enthusiastic staff space bit crowded,1,0,1
delicious,1,1,1
absolutely delicious point,1,1,1
delicious food especially nanban rice super delicious bit crowded lunchtime wait food quality great,1,1,1
nv ok good food,1,1,1
good unit,1,1,1
really like eating fried chicken burger,1,1,0
chicken crispy delicious still eat often,1,1,1
shop near street easy find clean quite crowded noon close office area kfc promotion eating lunch although quite delicious,1,1,1
good food good service back many time,1,1,1
delicious food,1,1,1
enthusiastic service friendly staff delicious food point without minus,1,1,1
delicious chicken,1,1,1
food quite good,1,1,1
delicious nutritious cheap fried chicken,1,1,1
good food good service,1,1,1
delicious food,1,1,1
food ok,1,1,1
delicious food attentive enthusiastic staff eat want come back nth time chicken richly marinated fried delicious vnd restaurant,1,1,1
service staff ok,1,1,1
delicious food attentive staff,1,1,1
food delicious staff polite enthusiastic place ive ever eaten come back many time place visit,1,1,1
delicious food,1,1,1
clean delicious food,1,1,1
delicious food,1,1,1
really bad placed order pm saw grab received good even increased shipping package fastest waited pm still didnt see anything refused delivery waited,1,1,0
spicy chicken delicious,1,1,1
beautiful staff,1,1,1
dry boring machine problem,0,1,0
chicken delicious staff restaurant friendly enthusiastic customer,1,1,1
ok,1,1,0
take good care,1,1,1
crowded waited food minute cleaning staff quite clean comfortable space eaten many time,1,1,1
okay,1,1,0
spicy crispy fried chicken rich mixed cabbage french fry go well together relieve boredom fragrant sweet egg cake recommend people try,1,1,1
delicious food,1,1,1
sweet potato soft chicken crispy arrived first food came later person came later got food first even though restaurant empty staff ok,1,0,1
awesome,1,1,0
good,1,1,1
delicious food welcoming staff,1,1,1
better kfc elsewhere,1,1,0
delicious food,1,1,1
hot delicious chicken,1,1,1
clothes came quickly im satisfied,1,1,1
good delicious chicken,1,1,1
delicious food,1,1,1
delicious editor extremely pretty,1,1,1
even though restaurant open long time service staff still enthusiastic friendly customer,1,1,1
delicious food enthusiastic staff,1,1,1
today may pm service quality bad waiting time long,0,0,0
crispy potato delicious spicy chicken,1,1,1
