Review,Label
delicious food friendly enthusiastic staff,1
food delicious variety dish reasonable space enthusiastic staff chance come back,1
delicious food friendly staff,1
delicious food cozy restaurant space enthusiastic staff,1
delicious food enthusiastic service sweet fragrant veal meat,1
service restaurant good food delicious try eating restaurant,1
food delicious food come quickly enthusiastic obedient staff,1
delicious food great service,1
restaurant cozy decorated food super delicious staff enthusiastic come back next time,1
delicious good service come next time,1
enthusiastic dedicated service attitude fresh delicious food beautifully presented,1
delicious great service food fresh delicious point come back,1
food delicious restaurant view chill,1
eating beef delicious meat fresh delicious,1
really like food delicious suitable taste restaurant space beautiful probably become favorite restaurant love belly,1
delicious food enthusiastic staff,1
delicious food enthusiastic service,1
go ng eat k ordered roll young beef grilled beef cant remember name polenta overall food ok guy drinking bit noisy hot,1
little food delicious slow service,1
spacious airy space food delicious filling item priced high cheap feel bit ridiculous minus point staff enthusiastic cheerful,1
good food nice view,1
beautiful space attentive service staff,1
great delicious restaurant friendly staff,1
delicious food beautiful space,1
nice staff food also delicious,1
quality good enthusiastic service,1
delicious food good service,1
dedicated attentive service staff delicious food beautiful romantic entrance scene,1
service bad food drink waiting hour still dont come told yes didnt see anywhere time eating time angry,0
ok super delicious food,1
bo quan moc thai thinh restaurant popular dining destination many people opinion restaurant good,1
good food,1
space shop quite similar openspace cafe food according personal opinion point restaurant staff quite gentle pleasant,1
