Review,Label,Predicted_Label
food bit salty taste service staff slow eating day thought one stomach ache asked found friend came home also stomach ache poop whole night several time,0,1
eaten many japanese restaurant price find food stable term taste affordable price,1,1
good food good music good service,1,1
decoration quite nice restaurant space quite small still cool food okay student price,1,1
im light eater still find rice taste rice broken taste good restaurant small sitting restaurant smell grease consider,1,1
long wait food delicious enthusiastic staff,1,1
food quite delicious curry bit salty topping plump vegetable storm expensive bit less potato general suitable price agile staff,1,1
delicious food reasonable price restaurant cramped,1,1
good food reasonable price recommend everyone try,1,1
food super delicious ive eaten many time,1,1
eat clean,1,1
cheap reasonable price seating cramped,0,1
never eaten japanese restaurant boring beef curry rice rubbery chicken even boring bland hot fried chicken isnt crispy soup add ginger reduce fishiness,1,1
food delicious cant finish one time,1,1
good restaurant point many dish,1,1
food super delicious restaurant space top notch staff caring love shop,1,1
experienced ao sen time found food right sauce rich seemed like restaurant adjusted suit vietnamese taste quite well although restaurant space bit small hot,1,1
food good delicious regarding staff service good arrived restaurant staff kept standing door looking parking space,1,1
delicious food enthusiastic staff,1,1
restaurant food also acceptable seems restaurant taste bit salty dont know ask staff reduce saltiness find ramen noodle better curry rice karaage chicken also bit salty seems like doesnt suit taste everyone experience,0,1
restaurant small clean food ok seating bit cramped,1,1
since ive back shop restaurant hotter restaurant almost full customer luckily arrived customer left comfortable seat people,1,1
food suitable taste price quite cheap food quality good restaurant bit small new facility phung khoang spacious beautiful good visit many time restaurant husband like everyone try,1,1
didnt expect delicious rice tea shop ha dong really like japanese food curry suitable taste,1,1
staff friendly food come slowly space cramped stuffy,1,1
eaten restaurant many time even though km house pas turn rice delicious filling tea also delicious,1,1
delicious like price cheap dont think ok curry tempura there tonkatsu rice sauce seems like restaurant added something mayo cx thats asked,1,1
good food compared price ordered tonkatsu rice ramen noodle rice point delicious egg tender meat miso soup also delicious seasoning ok think add little salt cabbage,1,1
food delicious nutty shop tea delicious restaurant open another larger facility give restaurant point,1,1
shop bit small food delicious brown rice tea impressive,1,1
minh long enjoyed delicious food everyone good service price quite reasonable,1,1
delicious restaurant enthusiastic staff beautiful restaurant vnd,1,1
food excellent,1,1
delicious japanesestyle food,1,1
restaurant quite crowded food delicious,1,1
food okay bad restaurant staff horrible customer attitude,0,0
delicious food like soaking ice able eat week love,1,1
delicious kare rice brown rice tea delicious unique well worth enjoying friendly attentive staff,1,1
space small clean taste japanese food great new restaurant,1,1
delicious nutritious cheap,1,1
tasty pretty love,1,1
service attitude good,1,1
food bad,0,0
tasty,1,1
